Animal,Young
aardvark,cub
albatross,chick
alligator,hatchling
alpaca,cria
anteater,pup
antelope,calf
armadillo,pup
ass/donkey,foal
badger,cub
bat,pup
bear,cub
beaver,kit
bison,calf
buffalo,calf
camel,calf
caribou,calf
cat,kitten
cheetah,cub
chicken,chick
chimpanzee,infant
coyote,pup
crab,zoea
crocodile,hatchling
crow,chick
deer,fawn
dog,puppy
dolphin,calf
dove,chick
dragonfly,nymph
duck,duckling
elephant,calf
elk,calf
ferret,kit
fox,cub
gazelle,calf
gerbil,pup
giraffe,calf
gnu,calf
goat,kid
goose,gosling
guinea fowl,keet
guinea pig,pup
gull,chick
hamster,pup
hare,leveret
hawk,eyas
hedgehog,hoglet
heron,chick
hippopotamus,calf
hornet,larvae
horse,foal
hyena,cub
ibex,kid
impala,calf
jay,chick
kangaroo,joey
koala,joey
kudu,calf
lark,chick
leopard,cub
lion,cub
llama,cria
magpie,chick
mammoth,calf
manatee,calf
mink,cub
mole,pup
moose,calf
mouse,kitten
nightingale,chick
ocelot,kitten
okapi,calf
opossum,joey
ostrich,hatchling
otter,pup
parrot,chick
peafowl,chick
pheasant,chick
pig ,piglet
pigeon,squab
polar bear,cub
porcupine,pup
porpoise,calf
prairie dog,pup
pug,pup
quail,chick
quelea,chick
rabbit,bunny
raccoon,cub
raven ,chick
raven ,chick
reindeer (caribou),calf
rhinoceros,calf
sea lion,pup
seahorse,seafoal
seal,pup
sheep,lamb
shrew,shrewlet
skunk,kit
sloth,kitten
squirrel,pup
swan,cygnet
tapir,calf
tiger,cub
wallaby,joey
walrus,calf
weasel,pup
whale,calf
wolf,pup
wolverine,kit
wombat,joey
yak,calf
zebra,foal
