Animal ,Animal,Young,Young
Aardvark,aardvark,cub,cub
Albatross,albatross,chick,chick
Alligator,alligator,hatchling,hatchling
Alpaca,alpaca,cria,cria
Anteater,anteater,pup,pup
Antelope,antelope,calf,calf
Armadillo,armadillo,pup,pup
Ass/donkey,ass/donkey,foal,foal
Badger,badger,cub,cub
Bat,bat,pup,pup
Bear,bear,cub,cub
Beaver,beaver,kit,kit
Bison,bison,calf,calf
Buffalo,buffalo,calf,calf
Camel,camel,calf,calf
Caribou,caribou,calf,calf
Cat,cat,kitten,kitten
Cheetah,cheetah,cub,cub
Chicken,chicken,chick,chick
Chimpanzee,chimpanzee,infant,infant
Coyote,coyote,pup,pup
Crab,crab,zoea,zoea
Crocodile,crocodile,hatchling,hatchling
Crow,crow,chick,chick
Deer,deer,fawn,fawn
Dog,dog,puppy,puppy
Dolphin,dolphin,calf,calf
Dove,dove,chick,chick
Dragonfly,dragonfly,nymph,nymph
Duck,duck,duckling,duckling
Elephant,elephant,calf,calf
Elk,elk,calf,calf
Ferret,ferret,kit,kit
Fox,fox,cub,cub
Gazelle,gazelle,calf,calf
Gerbil,gerbil,pup,pup
Giraffe,giraffe,calf,calf
Gnu,gnu,calf,calf
Goat,goat,kid,kid
Goose,goose,gosling,gosling
Guinea fowl,guinea fowl,keet,keet
Guinea pig,guinea pig,pup,pup
Gull,gull,chick,chick
Hamster,hamster,pup,pup
Hare,hare,leveret,leveret
Hawk,hawk,eyas,eyas
Hedgehog,hedgehog,hoglet,hoglet
Heron,heron,chick,chick
Hippopotamus,hippopotamus,calf,calf
Hornet,hornet,larvae,larvae
Horse,horse,foal,foal
Hyena,hyena,cub,cub
Ibex,ibex,kid,kid
Impala,impala,calf,calf
Jay,jay,chick,chick
Kangaroo,kangaroo,joey,joey
Koala,koala,joey,joey
Kudu,kudu,calf,calf
Lark,lark,chick,chick
Leopard,leopard,cub,cub
Lion,lion,cub,cub
Llama,llama,cria,cria
Magpie,magpie,chick,chick
Mammoth,mammoth,calf,calf
Manatee,manatee,calf,calf
Mink,mink,cub,cub
Mole,mole,pup,pup
Moose,moose,calf,calf
Mouse,mouse,kitten,kitten
Nightingale,nightingale,chick,chick
Ocelot,ocelot,kitten,kitten
Okapi,okapi,calf,calf
Opossum,opossum,joey,joey
Ostrich,ostrich,hatchling,hatchling
Otter,otter,pup,pup
Parrot,parrot,chick,chick
Peafowl,peafowl,chick,chick
Pheasant,pheasant,chick,chick
Pig ,pig ,piglet,piglet
Pigeon,pigeon,squab,squab
Polar bear,polar bear,cub,cub
Porcupine,porcupine,pup,pup
Porpoise,porpoise,calf,calf
Prairie dog,prairie dog,pup,pup
Pug,pug,pup,pup
Quail,quail,chick,chick
Quelea,quelea,chick,chick
Rabbit,rabbit,bunny,bunny
Raccoon,raccoon,cub,cub
Raven,raven,chick,chick
Raven ,raven ,chick ,chick 
Reindeer (caribou),reindeer (caribou),calf,calf
Rhinoceros,rhinoceros,calf,calf
Sea lion,sea lion,pup,pup
Seahorse,seahorse,seafoal,seafoal
Seal,seal,pup,pup
Shep,shep,lamb,lamb
Shrew,shrew,shrewlet,shrewlet
Skunk,skunk,kit,kit
Sloth,sloth,kitten,kitten
Squirrel,squirrel,pup,pup
Swan,swan,cygnet,cygnet
Tapir,tapir,calf,calf
Tiger,tiger,cub,cub
Wallaby,wallaby,joey,joey
Walrus,walrus,calf,calf
Weasel,weasel,pup,pup
Whale,whale,calf,calf
Wolf,wolf,pup,pup
Wolverine,wolverine,kit,kit
Wombat,wombat,joey,joey
Yak,yak,calf,calf
Zebra,zebra,foal,foal
